,Unnamed: 0,year,month,day,hour,Blue_pca_1,Blue_pca_2,Green_pca_1,Green_pca_2,Red_pca_1,Red_pca_2
159,159,5,1,7,15,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
160,160,5,1,7,16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
161,161,5,1,7,17,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
162,162,5,1,7,18,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
163,163,5,1,7,19,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
164,164,5,1,7,20,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
165,165,5,1,7,21,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
166,166,5,1,7,22,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
167,167,5,1,7,23,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
168,168,5,1,8,0,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
169,169,5,1,8,1,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
170,170,5,1,8,2,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
171,171,5,1,8,3,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
172,172,5,1,8,4,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
173,173,5,1,8,5,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
174,174,5,1,8,6,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
175,175,5,1,8,7,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
176,176,5,1,8,8,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
177,177,5,1,8,9,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
178,178,5,1,8,10,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
179,179,5,1,8,11,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
